,date,hive_weight
228,2014-05-02 0:00:00,101.107
229,2014-05-03 0:00:00,101.331
230,2014-05-04 0:00:00,101.065
231,2014-05-05 0:00:00,101.431
232,2014-05-06 0:00:00,101.239
233,2014-05-07 0:00:00,101.995
234,2014-05-08 0:00:00,102.074
235,2014-05-09 0:00:00,102.27
236,2014-05-10 0:00:00,102.234
237,2014-05-11 0:00:00,102.338
238,2014-05-12 0:00:00,101.708
239,2014-05-13 0:00:00,101.709
240,2014-05-14 0:00:00,101.768
241,2014-05-15 0:00:00,101.85
242,2014-05-16 0:00:00,101.943
243,2014-05-17 0:00:00,101.854
244,2014-05-18 0:00:00,102.041
245,2014-05-19 0:00:00,102.296
246,2014-05-20 0:00:00,102.306
247,2014-05-21 0:00:00,101.947
248,2014-05-22 0:00:00,101.595
249,2014-05-23 0:00:00,101.281
250,2014-05-24 0:00:00,100.691
251,2014-05-25 0:00:00,100.532
252,2014-05-26 0:00:00,94.9
253,2014-05-27 0:00:00,87.309
254,2014-05-28 0:00:00,86.303
255,2014-05-29 0:00:00,84.483
256,2014-05-30 0:00:00,83.974
257,2014-05-31 0:00:00,82.931
258,2014-06-01 0:00:00,83.59
259,2014-06-02 0:00:00,83.723
260,2014-06-03 0:00:00,83.014
261,2014-06-04 0:00:00,82.477
262,2014-06-05 0:00:00,82.2
263,2014-06-06 0:00:00,81.831
264,2014-06-07 0:00:00,81.44
265,2014-06-08 0:00:00,80.919
266,2014-06-09 0:00:00,80.567
267,2014-06-10 0:00:00,80.372
268,2014-06-11 0:00:00,80.24
269,2014-06-12 0:00:00,80.128
270,2014-06-13 0:00:00,80.742
271,2014-06-14 0:00:00,82.74
272,2014-06-15 0:00:00,82.684
273,2014-06-16 0:00:00,82.494
274,2014-06-17 0:00:00,82.308
275,2014-06-18 0:00:00,81.991
276,2014-06-19 0:00:00,81.776
277,2014-06-20 0:00:00,81.628
278,2014-06-21 0:00:00,81.603
279,2014-06-22 0:00:00,81.38
280,2014-06-23 0:00:00,81.327
281,2014-06-24 0:00:00,81.34
282,2014-06-25 0:00:00,81.164
283,2014-06-26 0:00:00,81.04
284,2014-06-27 0:00:00,81.341
285,2014-06-28 0:00:00,83.207
286,2014-06-29 0:00:00,82.737
287,2014-06-30 0:00:00,82.544
288,2014-07-01 0:00:00,82.29
289,2014-07-02 0:00:00,82.226
290,2014-07-03 0:00:00,82.074
291,2014-07-04 0:00:00,81.904
292,2014-07-05 0:00:00,81.845
293,2014-07-06 0:00:00,81.707
294,2014-07-07 0:00:00,81.543
295,2014-07-08 0:00:00,81.278
296,2014-07-09 0:00:00,81.067
297,2014-07-10 0:00:00,80.755
298,2014-07-11 0:00:00,80.397
299,2014-07-12 0:00:00,82.031
300,2014-07-13 0:00:00,86.608
301,2014-07-14 0:00:00,86.141
302,2014-07-15 0:00:00,85.641
303,2014-07-16 0:00:00,85.282
304,2014-07-17 0:00:00,85.032
305,2014-07-18 0:00:00,84.565
306,2014-07-19 0:00:00,84.164
307,2014-07-20 0:00:00,83.833
308,2014-07-21 0:00:00,83.544
309,2014-07-22 0:00:00,83.14
310,2014-07-23 0:00:00,78.922
311,2014-07-24 0:00:00,75.055
312,2014-07-25 0:00:00,74.616
313,2014-07-26 0:00:00,74.151
314,2014-07-27 0:00:00,73.797
315,2014-07-28 0:00:00,73.517
316,2014-07-29 0:00:00,73.394
317,2014-07-30 0:00:00,73.149
318,2014-07-31 0:00:00,72.929
319,2014-08-01 0:00:00,74.622
320,2014-08-02 0:00:00,70.327
321,2014-08-03 0:00:00,66.109
322,2014-08-04 0:00:00,65.427
323,2014-08-05 0:00:00,64.526
324,2014-08-06 0:00:00,64.053
325,2014-08-07 0:00:00,64.251
326,2014-08-08 0:00:00,63.133
327,2014-08-09 0:00:00,64.927
328,2014-08-10 0:00:00,67.306
329,2014-08-11 0:00:00,66.532
330,2014-08-12 0:00:00,65.831
331,2014-08-13 0:00:00,64.988
332,2014-08-14 0:00:00,63.875
333,2014-08-15 0:00:00,65.309
334,2014-08-16 0:00:00,66.722
335,2014-08-17 0:00:00,66.24
336,2014-08-18 0:00:00,65.577
337,2014-08-19 0:00:00,67.757
338,2014-08-20 0:00:00,74.325
339,2014-08-21 0:00:00,72.803
340,2014-08-22 0:00:00,71.882
341,2014-08-23 0:00:00,68.81
342,2014-08-24 0:00:00,66.369
343,2014-08-25 0:00:00,65.945
344,2014-08-26 0:00:00,65.449
345,2014-08-27 0:00:00,64.875
346,2014-08-28 0:00:00,64.607
347,2014-08-29 0:00:00,64.455
348,2014-08-30 0:00:00,64.216
349,2014-08-31 0:00:00,63.23
350,2014-09-01 0:00:00,62.199
351,2014-09-02 0:00:00,63.593
352,2014-09-03 0:00:00,64.434
353,2014-09-04 0:00:00,64.413
354,2014-09-05 0:00:00,64.425
355,2014-09-06 0:00:00,64.34
356,2014-09-07 0:00:00,64.343
357,2014-09-08 0:00:00,61.249
358,2014-09-09 0:00:00,57.233
359,2014-09-10 0:00:00,57.289
360,2014-09-11 0:00:00,57.647
361,2014-09-12 0:00:00,57.112
362,2014-09-13 0:00:00,57.022
363,2014-09-14 0:00:00,56.894
364,2014-09-15 0:00:00,56.658
365,2014-09-16 0:00:00,56.537
366,2014-09-17 0:00:00,56.627
367,2014-09-18 0:00:00,56.589
368,2014-09-19 0:00:00,56.094
369,2014-09-20 0:00:00,55.876
370,2014-09-21 0:00:00,55.569
371,2014-09-22 0:00:00,55.26
372,2014-09-23 0:00:00,55.017
373,2014-09-24 0:00:00,54.794
374,2014-09-25 0:00:00,55.02
375,2014-09-26 0:00:00,54.814
376,2014-09-27 0:00:00,54.121
377,2014-09-28 0:00:00,53.678
378,2014-09-29 0:00:00,53.668
379,2014-09-30 0:00:00,53.503
380,2014-10-01 0:00:00,53.309
381,2014-10-02 0:00:00,53.302
382,2014-10-03 0:00:00,53.178
383,2014-10-04 0:00:00,53.162
384,2014-10-05 0:00:00,53.175
385,2014-10-06 0:00:00,53.201
386,2014-10-07 0:00:00,53.3
387,2014-10-08 0:00:00,53.36
388,2014-10-09 0:00:00,53.505
389,2014-10-10 0:00:00,53.476
390,2014-10-11 0:00:00,53.544
391,2014-10-12 0:00:00,53.685
392,2014-10-13 0:00:00,53.857
393,2014-10-14 0:00:00,53.712
394,2014-10-15 0:00:00,53.739
395,2014-10-16 0:00:00,53.822
396,2014-10-17 0:00:00,53.893
397,2014-10-18 0:00:00,53.938
398,2014-10-19 0:00:00,54.16
399,2014-10-20 0:00:00,54.387
400,2014-10-21 0:00:00,54.507
401,2014-10-22 0:00:00,54.649
402,2014-10-23 0:00:00,54.899
403,2014-10-24 0:00:00,55.111
404,2014-10-25 0:00:00,55.591
405,2014-10-26 0:00:00,55.714
406,2014-10-27 0:00:00,55.815
407,2014-10-28 0:00:00,55.962
408,2014-10-29 0:00:00,56.079
409,2014-10-30 0:00:00,56.146
410,2014-10-31 0:00:00,56.344
411,2014-11-01 0:00:00,56.442
412,2014-11-02 0:00:00,56.398
413,2014-11-03 0:00:00,56.511
414,2014-11-04 0:00:00,56.434
415,2014-11-05 0:00:00,56.439
416,2014-11-06 0:00:00,56.515
417,2014-11-07 0:00:00,56.523
418,2014-11-08 0:00:00,56.633
419,2014-11-09 0:00:00,56.849
420,2014-11-10 0:00:00,56.855
421,2014-11-11 0:00:00,56.915
422,2014-11-12 0:00:00,57.021
423,2014-11-13 0:00:00,57.61
424,2014-11-14 0:00:00,57.542
425,2014-11-15 0:00:00,58.274
426,2014-11-16 0:00:00,58.227
427,2014-11-17 0:00:00,58.432
428,2014-11-18 0:00:00,58.984
429,2014-11-19 0:00:00,58.59
430,2014-11-20 0:00:00,58.374
431,2014-11-21 0:00:00,58.124
432,2014-11-22 0:00:00,62.198
433,2014-11-23 0:00:00,61.045
434,2014-11-24 0:00:00,61.78
435,2014-11-25 0:00:00,62.136
436,2014-11-26 0:00:00,63.64
437,2014-11-27 0:00:00,61.305
438,2014-11-28 0:00:00,61.394
439,2014-11-29 0:00:00,62.08
440,2014-11-30 0:00:00,62.422
441,2014-12-01 0:00:00,62.784
442,2014-12-02 0:00:00,62.909
443,2014-12-03 0:00:00,62.942
444,2014-12-04 0:00:00,63.118
445,2014-12-05 0:00:00,63.423
446,2014-12-06 0:00:00,63.835
447,2014-12-07 0:00:00,64.36
448,2014-12-08 0:00:00,64.386
449,2014-12-09 0:00:00,64.284
450,2014-12-10 0:00:00,64.166
451,2014-12-11 0:00:00,64.635
452,2014-12-12 0:00:00,64.994
453,2014-12-13 0:00:00,64.73
454,2014-12-14 0:00:00,64.291
455,2014-12-15 0:00:00,64.653
456,2014-12-16 0:00:00,64.613
457,2014-12-17 0:00:00,64.687
458,2014-12-18 0:00:00,64.482
459,2014-12-19 0:00:00,64.426
460,2014-12-20 0:00:00,64.09
461,2014-12-21 0:00:00,63.678
462,2014-12-22 0:00:00,63.536
463,2014-12-23 0:00:00,63.598
464,2014-12-24 0:00:00,63.591
465,2014-12-25 0:00:00,59.623
466,2014-12-26 0:00:00,60.02
467,2014-12-27 0:00:00,62.215
468,2014-12-28 0:00:00,61.949
469,2014-12-29 0:00:00,61.855
470,2014-12-30 0:00:00,61.718
471,2014-12-31 0:00:00,62.208
472,2015-01-01 0:00:00,61.414
473,2015-01-02 0:00:00,61.226
474,2015-01-03 0:00:00,60.955
475,2015-01-04 0:00:00,61.005
476,2015-01-05 0:00:00,62.91
477,2015-01-06 0:00:00,62.834
478,2015-01-07 0:00:00,62.16
479,2015-01-08 0:00:00,61.838
480,2015-01-09 0:00:00,61.828
481,2015-01-10 0:00:00,61.977
482,2015-01-11 0:00:00,61.943
483,2015-01-12 0:00:00,62.179
484,2015-01-13 0:00:00,62.888
485,2015-01-14 0:00:00,63.491
486,2015-01-15 0:00:00,63.537
487,2015-01-16 0:00:00,63.768
488,2015-01-17 0:00:00,64.038
489,2015-01-18 0:00:00,64.303
490,2015-01-19 0:00:00,64.564
491,2015-01-20 0:00:00,64.891
492,2015-01-21 0:00:00,65.917
493,2015-01-22 0:00:00,66.599
494,2015-01-23 0:00:00,67.346
495,2015-01-24 0:00:00,74.405
496,2015-01-25 0:00:00,82.47
497,2015-01-26 0:00:00,82.668
498,2015-01-27 0:00:00,83.023
499,2015-01-28 0:00:00,88.088
500,2015-01-29 0:00:00,91.865
501,2015-01-30 0:00:00,91.607
502,2015-01-31 0:00:00,91.789
503,2015-02-01 0:00:00,92.029
504,2015-02-02 0:00:00,91.92
505,2015-02-03 0:00:00,92.206
506,2015-02-04 0:00:00,92.671
507,2015-02-05 0:00:00,92.934
508,2015-02-06 0:00:00,92.931
509,2015-02-07 0:00:00,93.008
510,2015-02-08 0:00:00,92.848
511,2015-02-09 0:00:00,92.71
512,2015-02-10 0:00:00,92.439
513,2015-02-11 0:00:00,92.7
514,2015-02-12 0:00:00,89.469
515,2015-02-13 0:00:00,87.995
516,2015-02-14 0:00:00,88.475
517,2015-02-15 0:00:00,89.05
518,2015-02-16 0:00:00,89.619
519,2015-02-17 0:00:00,89.448
520,2015-02-18 0:00:00,89.356
521,2015-02-19 0:00:00,89.821
522,2015-02-20 0:00:00,90.928
523,2015-02-21 0:00:00,93.276
524,2015-02-22 0:00:00,93.854
525,2015-02-23 0:00:00,93.931
526,2015-02-24 0:00:00,93.856
527,2015-02-25 0:00:00,94.526
528,2015-02-26 0:00:00,95.352
529,2015-02-27 0:00:00,95.655
530,2015-02-28 0:00:00,95.606
531,2015-03-01 0:00:00,96.092
532,2015-03-02 0:00:00,96.683
533,2015-03-03 0:00:00,97.177
534,2015-03-04 0:00:00,106.12
535,2015-03-05 0:00:00,112.202
536,2015-03-06 0:00:00,112.75
537,2015-03-07 0:00:00,113.222
538,2015-03-08 0:00:00,113.891
539,2015-03-09 0:00:00,115.029
540,2015-03-10 0:00:00,116.135
541,2015-03-11 0:00:00,117.079
542,2015-03-12 0:00:00,117.779
543,2015-03-13 0:00:00,118.925
544,2015-03-14 0:00:00,119.916
545,2015-03-15 0:00:00,120.543
546,2015-03-16 0:00:00,120.519
547,2015-03-17 0:00:00,120.675
548,2015-03-18 0:00:00,120.992
549,2015-03-19 0:00:00,121.561
550,2015-03-20 0:00:00,122.149
551,2015-03-21 0:00:00,122.421
552,2015-03-22 0:00:00,122.839
553,2015-03-23 0:00:00,123.86
554,2015-03-24 0:00:00,123.637
555,2015-03-25 0:00:00,124.047
556,2015-03-26 0:00:00,124.827
